County,Workforce Development Area,Female,Male,Percent Female,Percent Male
Missouri,Statewide,"1,379,009","1,337,209",50.8%,49.2%
Adair,Northeast,"5,289","4,109",56.3%,43.7%
Andrew,Northwest,"1,385","1,223",53.1%,46.9%
Atchison,Northwest,876,705,55.4%,44.6%
Audrain,Central,"4,382","4,376",50.0%,50.0%
Barry,Southwest,"6,422","7,838",45.0%,55.0%
Barton,Southwest,"1,537","1,576",49.4%,50.6%
Bates,West Central,"2,062","1,582",56.6%,43.4%
Benton,West Central,"2,079","1,346",60.7%,39.3%
Bollinger,Southeast,986,761,56.4%,43.6%
Boone,Central,"47,629","44,154",51.9%,48.1%
Buchanan,Northwest,"23,627","23,890",49.7%,50.3%
Butler,South Central,"9,228","7,547",55.0%,45.0%
Caldwell,Northwest,"1,084",808,57.3%,42.7%
Callaway,Central,"6,722","8,051",45.5%,54.5%
Camden,Central,"8,151","7,415",52.4%,47.6%
Cape Girardeau,Southeast,"21,634","18,810",53.5%,46.5%
Carroll,West Central,"1,319","1,080",55.0%,45.0%
Carter,South Central,784,555,58.5%,41.5%
Cass,Kansas City,"13,997","13,433",51.0%,49.0%
Cedar,West Central,"1,737","1,290",57.4%,42.6%
Chariton,West Central,953,860,52.6%,47.4%
Christian,Ozark,"8,702","8,972",49.2%,50.8%
Clark,Northeast,731,600,54.9%,45.1%
Clay,Kansas City,"50,260","54,472",48.0%,52.0%
Clinton,Northwest,"2,124","1,666",56.0%,44.0%
Cole,Central,"27,342","25,665",51.6%,48.4%
Cooper,Central,"2,581","2,350",52.3%,47.7%
Crawford,Central,"3,435","3,127",52.3%,47.7%
Dade,Southwest,839,853,49.6%,50.4%
Dallas,Ozark,"1,379","1,051",56.7%,43.3%
Daviess,Northwest,832,650,56.1%,43.9%
DeKalb,Northwest,"1,526","1,493",50.6%,49.4%
Dent,Central,"1,977","2,025",49.4%,50.6%
Douglas,South Central,"1,221","1,031",54.2%,45.8%
Dunklin,Southeast,"5,403","3,224",62.6%,37.4%
Franklin,Jefferson/Franklin,"17,586","20,404",46.3%,53.7%
Gasconade,Central,"2,885","2,451",54.1%,45.9%
Gentry,Northwest,"1,146",997,53.5%,46.5%
Greene,Ozark,"85,479","86,950",49.6%,50.4%
Grundy,Northwest,"1,686","1,162",59.2%,40.8%
Harrison,Northwest,"1,365",992,57.9%,42.1%
Henry,West Central,"3,997","3,023",56.9%,43.1%
Hickory,West Central,680,478,58.7%,41.3%
Holt,Northwest,585,617,48.7%,51.3%
Howard,Central,"1,473","1,148",56.2%,43.8%
Howell,South Central,"7,786","6,759",53.5%,46.5%
Iron,Southeast,"1,539","1,250",55.2%,44.8%
Jackson,Kansas City,"186,456","182,612",50.5%,49.5%
Jasper,Southwest,"25,165","29,817",45.8%,54.2%
Jefferson,Jefferson/Franklin,"25,616","24,715",50.9%,49.1%
Johnson,West Central,"7,525","6,595",53.3%,46.7%
Knox,Northeast,485,550,46.9%,53.1%
Laclede,Central,"6,164","7,808",44.1%,55.9%
Lafayette,West Central,"4,437","4,057",52.2%,47.8%
Lawrence,Southwest,"4,411","4,436",49.9%,50.1%
Lewis,Northeast,"1,298","1,167",52.7%,47.3%
