County,Workforce Development Area,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,Two or More Race Groups,White Alone,Total
Missouri,Statewide,"14,211","61,222","333,129","3,866","43,289","2,260,502","2,716,218"
Adair,Northeast,30,204,351,9,119,"8,686","9,398"
Andrew,Northwest,10,23,58,0,23,"2,493","2,607"
Atchison,Northwest,7,9,14,0,13,"1,538","1,581"
Audrain,Central,30,70,598,7,116,"7,937","8,757"
Barry,Southwest,173,315,212,38,197,"13,326","14,260"
Barton,Southwest,28,15,43,4,47,"2,976","3,113"
Bates,West Central,23,22,58,3,42,"3,495","3,644"
Benton,West Central,21,26,62,3,43,"3,270","3,425"
Bollinger,Southeast,11,10,24,0,9,"1,692","1,747"
Boone,Central,403,"2,702","9,693",88,"1,860","77,038","91,783"
Buchanan,Northwest,272,"1,260","2,914",103,781,"42,188","47,517"
Butler,South Central,99,126,"1,093",10,220,"15,227","16,775"
Caldwell,Northwest,10,9,26,0,15,"1,831","1,890"
Callaway,Central,71,185,"1,141",15,225,"13,136","14,773"
Camden,Central,104,147,408,16,225,"14,667","15,566"
Cape Girardeau,Southeast,134,447,"3,345",20,481,"36,017","40,443"
Carroll,West Central,10,26,69,3,23,"2,270","2,400"
Carter,South Central,10,4,14,0,20,"1,290","1,338"
Cass,Kansas City,174,388,"2,332",44,510,"23,983","27,430"
Cedar,West Central,18,14,38,0,47,"2,909","3,026"
Chariton,West Central,7,5,47,0,12,"1,742","1,813"
Christian,Ozark,140,194,336,16,271,"16,717","17,674"
Clark,Northeast,4,8,14,0,11,"1,295","1,331"
Clay,Kansas City,724,"2,576","11,933",301,"2,151","87,048","104,732"
Clinton,Northwest,17,40,73,3,48,"3,609","3,789"
Cole,Central,214,854,"4,078",44,671,"47,145","53,007"
Cooper,Central,31,32,293,4,83,"4,489","4,931"
Crawford,Central,37,53,96,7,74,"6,297","6,562"
Dade,Southwest,18,6,12,4,33,"1,620","1,692"
Dallas,Ozark,15,16,34,0,29,"2,336","2,429"
Daviess,Northwest,11,10,14,0,11,"1,437","1,482"
DeKalb,Northwest,11,36,81,0,35,"2,854","3,017"
Dent,Central,29,30,67,3,37,"3,838","4,003"
Douglas,South Central,17,28,32,0,27,"2,147","2,251"
Dunklin,Southeast,32,51,921,6,79,"7,537","8,627"
Franklin,Jefferson/Franklin,160,404,"1,352",28,415,"35,631","37,990"
Gasconade,Central,15,39,79,4,49,"5,149","5,335"
Gentry,Northwest,8,10,21,0,17,"2,085","2,141"
Greene,Ozark,"1,309","2,659","7,144",206,"3,071","158,041","172,429"
Grundy,Northwest,8,33,47,0,25,"2,734","2,846"
Harrison,Northwest,13,19,32,3,16,"2,275","2,357"
Henry,West Central,39,63,168,9,87,"6,654","7,020"
Hickory,West Central,8,5,12,0,7,"1,128","1,158"
Holt,Northwest,9,4,18,0,12,"1,158","1,201"
Howard,Central,15,9,257,0,42,"2,297","2,619"
Howell,South Central,88,120,234,13,179,"13,913","14,545"
Iron,Southeast,17,12,38,1,27,"2,693","2,788"
Jackson,Kansas City,"2,253","11,211","56,810",811,"7,292","290,693","369,069"
Jasper,Southwest,"1,011",815,"2,083",197,"1,225","49,650","54,981"
Jefferson,Jefferson/Franklin,166,605,"3,166",33,619,"45,743","50,331"
Johnson,West Central,91,302,778,33,258,"12,657","14,119"
Knox,Northeast,4,11,20,0,10,990,"1,035"
Laclede,Central,86,112,299,14,203,"13,257","13,971"
Lafayette,West Central,31,90,289,20,120,"7,944","8,494"
Lawrence,Southwest,86,68,120,6,119,"8,448","8,846"
Lewis,Northeast,10,29,67,0,23,"2,336","2,464"
Lincoln,Northeast,43,127,607,9,151,"10,814","11,750"
Linn,Northwest,9,18,58,0,33,"3,596","3,713"
Livingston,Northwest,20,41,166,3,68,"5,886","6,183"
McDonald,Southwest,320,171,360,229,195,"5,778","7,053"
Macon,Northeast,19,38,164,4,50,"4,569","4,843"
Madison,Southeast,11,17,56,0,31,"3,417","3,531"
Maries,Central,5,3,10,0,8,"1,196","1,222"
Marion,Northeast,33,116,687,11,177,"11,956","12,978"
Mercer,Northwest,11,4,17,0,7,"1,489","1,528"
Miller,Central,37,42,158,8,81,"6,247","6,572"
Mississippi,Southeast,16,17,516,0,29,"2,785","3,362"
Moniteau,Central,17,25,83,6,53,"3,672","3,854"
