dt,location,fips,cases_total,deaths_total,hospital_beds_capacity_count,hospital_beds_in_use_any,hospital_beds_in_use_covid_total,icu_beds_capacity_count,icu_beds_in_use_any,negative_tests_total,num_hospitals_reporting,num_of_hospitals,positive_tests_total,tests_total,state_name,county_name,area,latitude,longitude,Fraction of population over 65,Mean household income,Mean travel time to work (minutes),Median age,Median household income,Percent Asian,Percent Hispanic/Latino (any race),Percent Native American or Alaska Native,Percent Native Hawaiian or other Pacific Islander,Percent black,Percent of 16+ commute carpool,Percent of 16+ commute driving alone,Percent of 16+ commute other way,Percent of 16+ commute public transit,Percent of 16+ commute walk,Percent of 16+ commute work at home,Percent of 25+ with Associate degree,Percent of 25+ with Associate's degree,Percent of 25+ with Bachelor degree,Percent of 25+ with Bachelor's degree,Percent of 25+ with HS degree but no college,Percent of 25+ with less than 9th grade education,Percent of 25+ with professional degree,Percent of 25+ with some HS but no HS degree,Percent of 25+ with some college but no degree,Percent of civilian population with health insurance,Percent of civilian population with no health insurance,Percent of families w/ income < poverty lvl in last year,Percent other race,Percent two or more races,Percent white,Total population
2020-09-15,29001,29001,294.0,0.0,,,,,,,,,,,Missouri,Adair,567.3431400000001,40.190666,-92.60359,14.0,55584.0,16.0,27.0,40046.0,2.0,1.0,0.0,0.0,3.0,12.0,77.0,1.0,0.0,3.0,4.0,,7.0,,14.0,35.0,3.0,15.0,6.0,17.0,91.0,8.0,11.0,0.0,2.0,91.0,25325.0
2020-09-15,29003,29003,189.0,1.0,,,,,,,,,,,Missouri,Andrew,432.64597000000003,39.988859999999995,-94.80355,18.0,70526.0,23.0,42.0,55683.0,0.0,2.0,0.0,0.0,2.0,6.0,87.0,0.0,0.0,2.0,2.0,,7.0,,15.0,38.0,2.0,8.0,5.0,22.0,92.0,7.0,6.0,0.0,1.0,95.0,17403.0
2020-09-15,29005,29005,41.0,0.0,,,,,,,,,,,Missouri,Atchison,547.304,40.431847,-95.43755,25.0,60781.0,17.0,48.0,48385.0,0.0,1.0,0.0,0.0,0.0,10.0,80.0,1.0,0.0,3.0,4.0,,7.0,,16.0,39.0,3.0,6.0,6.0,21.0,91.0,8.0,6.0,0.0,0.0,97.0,5270.0
2020-09-15,29007,29007,372.0,2.0,,,,,,,,,,,Missouri,Audrain,692.2684,39.21448,-91.84342,17.0,57969.0,21.0,39.0,43761.0,0.0,3.0,0.0,0.0,6.0,8.0,81.0,1.0,0.0,2.0,5.0,,6.0,,9.0,46.0,4.0,5.0,10.0,17.0,90.0,10.0,10.0,0.0,3.0,89.0,25735.0
2020-09-15,29009,29009,411.0,5.0,,,,,,,,,,,Missouri,Barry,778.1011,36.699375,-93.834335,19.0,56640.0,21.0,43.0,41463.0,1.0,9.0,0.0,0.0,0.0,10.0,80.0,1.0,0.0,2.0,5.0,,6.0,,10.0,40.0,5.0,4.0,11.0,20.0,84.0,15.0,14.0,1.0,3.0,93.0,35493.0
2020-09-15,29011,29011,153.0,0.0,,,,,,,,,,,Missouri,Barton,592.0503,37.500797,-94.344086,19.0,62378.0,23.0,41.0,41625.0,0.0,2.0,1.0,0.0,0.0,6.0,83.0,1.0,0.0,2.0,5.0,,5.0,,12.0,42.0,5.0,5.0,7.0,21.0,90.0,9.0,15.0,0.0,3.0,94.0,11850.0
2020-09-15,29013,29013,84.0,1.0,,,,,,,,,,,Missouri,Bates,836.7231400000001,38.257217,-94.33925,19.0,65596.0,30.0,41.0,46186.0,0.0,2.0,0.0,0.0,1.0,11.0,74.0,1.0,0.0,3.0,8.0,,6.0,,9.0,46.0,3.0,5.0,9.0,19.0,90.0,9.0,8.0,0.0,1.0,95.0,16374.0
2020-09-15,29015,29015,188.0,2.0,,,,,,,,,,,Missouri,Benton,704.06665,38.301037,-93.28794,29.0,54881.0,27.0,53.0,38028.0,0.0,2.0,1.0,0.0,0.0,14.0,75.0,1.0,0.0,2.0,6.0,,7.0,,8.0,40.0,4.0,5.0,9.0,23.0,87.0,12.0,12.0,0.0,2.0,96.0,18989.0
2020-09-15,29017,29017,263.0,1.0,,,,,,,,,,,Missouri,Bollinger,617.9252299999999,37.318428000000004,-90.02464,19.0,53616.0,31.0,44.0,42985.0,0.0,1.0,0.0,0.0,0.0,18.0,68.0,1.0,1.0,4.0,6.0,,4.0,,6.0,46.0,7.0,2.0,13.0,18.0,89.0,10.0,12.0,0.0,0.0,97.0,12281.0
2020-09-15,29019,29019,4182.0,6.0,,,,,,,,,,,Missouri,Boone,685.5742,38.98986,-92.3102,11.6,73971.5,17.9,30.2,54199.5,4.35,3.25,0.25,0.0,8.55,11.2,77.45,1.4,1.0,3.35,4.1,7.3,7.0,26.0,25.0,20.0,1.25,21.2,3.65,19.8,92.85,7.15,8.5,0.6,4.1,81.15,178260.0
2020-09-15,29021,29021,1591.0,13.0,,,,,,,,,,,Missouri,Buchanan,408.25818,39.66037,-94.808174,16.0,64690.0,16.7,38.1,52738.5,0.95,6.45,0.15,0.0,5.15,9.65,84.0,0.8,0.3,1.3,1.85,5.6,6.0,15.9,13.0,37.45,2.5,6.5,9.1,23.2,88.0,11.5,11.05,1.45,3.85,87.0,88823.5
2020-09-15,29023,29023,492.0,4.0,,,,,,,,,,,Missouri,Butler,694.6939,36.71518,-90.40313,18.0,53525.0,17.0,40.0,39058.0,0.0,2.0,0.0,0.0,5.0,10.0,81.0,1.0,1.0,2.0,3.0,,9.0,,8.0,36.0,5.0,5.0,11.0,23.0,87.0,12.0,16.0,0.0,2.0,90.0,42733.0
2020-09-15,29025,29025,60.0,1.0,,,,,,,,,,,Missouri,Caldwell,426.40665,39.658997,-93.97918,19.0,58141.0,33.0,42.0,48033.0,0.0,2.0,0.0,0.0,0.0,10.0,81.0,0.0,0.0,2.0,4.0,,7.0,,13.0,43.0,2.0,4.0,6.0,21.0,91.0,8.0,9.0,0.0,2.0,96.0,9049.0
2020-09-15,29027,29027,532.0,2.0,,,,,,,,,,,Missouri,Callaway,834.5952,38.83555,-91.92345,15.0,65892.0,23.0,38.0,55376.0,0.0,2.0,0.0,0.0,4.0,10.0,83.0,2.0,0.0,0.0,3.0,,6.0,,14.0,37.0,3.0,7.0,10.0,19.0,90.0,9.0,9.0,0.0,1.0,91.0,44840.0
2020-09-15,29029,29029,722.0,10.0,,,,,,,,,,,Missouri,Camden,656.0653,38.026527,-92.76533,27.0,70165.0,23.0,51.0,52087.0,0.0,2.0,0.0,0.0,0.0,11.0,81.0,1.0,0.0,1.0,5.0,,8.0,,13.0,37.0,2.0,8.0,8.0,20.0,86.0,13.0,11.0,0.0,1.0,96.0,45096.0
2020-09-15,29031,29031,1339.0,9.0,,,,,,,,,,,Missouri,Cape Girardeau,578.5607,37.38414,-89.68565,16.2,65313.0,19.4,36.0,50787.0,1.55,2.2,0.1,0.0,6.6,10.95,82.2,0.6,0.75,1.9,2.65,5.9,6.0,19.3,19.0,32.1,3.85,11.55,5.9,20.55,91.55,7.95,8.85,0.1,2.75,87.4,78538.5
2020-09-15,29033,29033,128.0,1.0,,,,,,,,,,,Missouri,Carroll,694.6453,39.427376,-93.50023,20.0,59785.0,25.0,43.0,42149.0,0.0,1.0,0.0,0.0,2.0,8.0,78.0,1.0,0.0,1.0,9.0,,6.0,,11.0,45.0,3.0,5.0,9.0,17.0,89.0,10.0,11.0,0.0,1.0,95.0,8843.0
