State Code (FIPS),County Code (FIPS),Area Name (including legal/statistical area description)
29,1,Adair County
29,3,Andrew County
29,5,Atchison County
29,7,Audrain County
29,9,Barry County
29,11,Barton County
29,13,Bates County
29,15,Benton County
29,17,Bollinger County
29,19,Boone County
29,21,Buchanan County
29,23,Butler County
29,25,Caldwell County
29,27,Callaway County
29,29,Camden County
29,31,Cape Girardeau County
29,33,Carroll County
29,35,Carter County
29,37,Cass County
29,39,Cedar County
29,41,Chariton County
29,43,Christian County
29,45,Clark County
29,47,Clay County
29,49,Clinton County
29,51,Cole County
29,53,Cooper County
29,55,Crawford County
29,57,Dade County
29,59,Dallas County
29,61,Daviess County
29,63,DeKalb County
29,65,Dent County
29,67,Douglas County
29,69,Dunklin County
29,71,Franklin County
29,73,Gasconade County
29,75,Gentry County
29,77,Greene County
29,79,Grundy County
29,81,Harrison County
29,83,Henry County
29,85,Hickory County
29,87,Holt County
29,89,Howard County
29,91,Howell County
29,93,Iron County
29,95,Jackson County
29,97,Jasper County
29,99,Jefferson County
29,101,Johnson County
29,103,Knox County
29,105,Laclede County
29,107,Lafayette County
29,109,Lawrence County
29,111,Lewis County
29,113,Lincoln County
29,115,Linn County
29,117,Livingston County
29,119,McDonald County
29,121,Macon County
29,123,Madison County
29,125,Maries County
29,127,Marion County
29,129,Mercer County
29,131,Miller County
29,133,Mississippi County
29,135,Moniteau County
29,137,Monroe County
29,139,Montgomery County
29,141,Morgan County
29,143,New Madrid County
29,145,Newton County
29,147,Nodaway County
29,149,Oregon County
29,151,Osage County
29,153,Ozark County
29,155,Pemiscot County
29,157,Perry County
29,159,Pettis County
29,161,Phelps County
29,163,Pike County
29,165,Platte County
29,167,Polk County
29,169,Pulaski County
29,171,Putnam County
29,173,Ralls County
29,175,Randolph County
29,177,Ray County
29,179,Reynolds County
29,181,Ripley County
29,183,St. Charles County
29,185,St. Clair County
29,186,Ste. Genevieve County
29,187,St. Francois County
29,189,St. Louis County
29,195,Saline County
29,197,Schuyler County
29,199,Scotland County
29,201,Scott County
29,203,Shannon County
29,205,Shelby County
29,207,Stoddard County
29,209,Stone County
29,211,Sullivan County
29,213,Taney County
29,215,Texas County
29,217,Vernon County
29,219,Warren County
29,221,Washington County
29,223,Wayne County
29,225,Webster County
29,227,Worth County
29,229,Wright County
29,510,City of St. Louis County
