fips,dt,location,active_total,cases_confirmed,cases_suspected,cases_total,deaths_confirmed,deaths_suspected,deaths_total,hospital_beds_capacity_count,hospital_beds_in_use_any,hospital_beds_in_use_covid_confirmed,hospital_beds_in_use_covid_new,hospital_beds_in_use_covid_suspected,hospital_beds_in_use_covid_total,icu_beds_capacity_count,icu_beds_in_use_any,icu_beds_in_use_covid_confirmed,icu_beds_in_use_covid_suspected,icu_beds_in_use_covid_total,negative_tests_total,num_hospitals_reporting,num_of_hospitals,positive_tests_total,recovered_total,tests_total,ventilators_capacity_count,ventilators_in_use_any,ventilators_in_use_covid_total,state_name,county_name,area,latitude,longitude,Fraction of population over 65,Mean household income,Mean travel time to work (minutes),Median age,Median household income,Percent Asian,Percent Hispanic/Latino (any race),Percent Native American or Alaska Native,Percent Native Hawaiian or other Pacific Islander,Percent black,Percent of 16+ commute carpool,Percent of 16+ commute driving alone,Percent of 16+ commute other way,Percent of 16+ commute public transit,Percent of 16+ commute walk,Percent of 16+ commute work at home,Percent of 25+ with Associate degree,Percent of 25+ with Associate's degree,Percent of 25+ with Bachelor degree,Percent of 25+ with Bachelor's degree,Percent of 25+ with HS degree but no college,Percent of 25+ with less than 9th grade education,Percent of 25+ with professional degree,Percent of 25+ with some HS but no HS degree,Percent of 25+ with some college but no degree,Percent of civilian population with health insurance,Percent of civilian population with no health insurance,Percent of families w/ income < poverty lvl in last year,Percent other race,Percent two or more races,Percent white,Total population
01001,2020-09-15,1001,,1463.0,138.0,1601.0,23.0,1.0,24.0,,,,,,,,,,,,,,,,,7885.0,,,,Alabama,Autauga,594.4639,32.532238,-86.64644,14.0,75515.0,25.0,37.0,58786.0,1.0,2.0,0.0,0.0,19.0,8.0,86.0,1.0,0.0,0.0,2.0,,8.0,,15.0,32.0,2.0,11.0,8.0,20.0,92.0,7.0,12.0,0.0,1.0,76.0,55200.0
01003,2020-09-15,1003,,4812.0,180.0,4992.0,43.0,4.0,47.0,,,,,,,,,,,,,,,,,31246.0,,,,Alabama,Baldwin,1589.8767,30.659218,-87.74606,19.7,78731.5,27.55,43.0,56387.5,0.55,4.3,0.3,0.0,9.2,6.55,84.55,1.7,0.0,0.35,5.85,8.5,9.0,20.7,20.0,27.65,2.15,10.35,7.25,22.05,87.9,11.6,6.7,1.1,1.3,86.05,213064.5
01005,2020-09-15,1005,,629.0,177.0,806.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,3100.0,,,,Alabama,Barbour,885.0381,31.870253,-85.405106,18.0,47909.0,22.0,39.0,34186.0,0.0,4.0,0.0,0.0,47.0,10.0,83.0,2.0,0.0,2.0,1.0,,7.0,,7.0,35.0,8.0,4.0,18.0,18.0,88.0,11.0,21.0,3.0,1.0,47.0,25782.0
01007,2020-09-15,1007,,580.0,31.0,611.0,6.0,3.0,9.0,,,,,,,,,,,,,,,,,3736.0,,,,Alabama,Bibb,622.4825400000001,33.015892,-87.127144,16.0,58529.0,29.0,39.0,45340.0,0.0,2.0,0.0,0.0,22.0,10.0,84.0,0.0,0.0,0.0,2.0,,5.0,,7.0,47.0,5.0,3.0,11.0,18.0,92.0,7.0,10.0,0.0,0.0,76.0,22527.0
01009,2020-09-15,1009,,1139.0,336.0,1475.0,13.0,0.0,13.0,,,,,,,,,,,,,,,,,6493.0,,,,Alabama,Blount,644.85266,33.977356,-86.56644,17.0,60646.0,35.0,40.0,48695.0,0.0,9.0,0.0,0.0,1.0,10.0,86.0,0.0,0.0,0.0,2.0,,12.0,,8.0,34.0,7.0,4.0,12.0,21.0,89.0,11.0,10.0,0.0,1.0,95.0,57645.0
01011,2020-09-15,1011,,558.0,23.0,581.0,13.0,1.0,14.0,,,,,,,,,,,,,,,,,1961.0,,,,Alabama,Bullock,622.8333,32.101757,-85.71726,15.0,45516.0,28.0,39.0,32152.0,0.0,0.0,1.0,0.0,76.0,12.0,79.0,0.0,0.0,5.0,2.0,,5.0,,7.0,39.0,4.0,5.0,19.0,17.0,89.0,10.0,31.0,0.0,0.0,22.0,10352.0
01013,2020-09-15,1013,,868.0,33.0,901.0,37.0,1.0,38.0,,,,,,,,,,,,,,,,,3550.0,,,,Alabama,Butler,776.8649,31.751666999999998,-86.68196999999999,19.0,52630.0,24.0,40.0,39109.0,1.0,0.0,0.0,0.0,45.0,12.0,83.0,1.0,0.0,0.0,1.0,,7.0,,9.0,43.0,4.0,6.0,11.0,16.0,89.0,10.0,18.0,0.0,1.0,52.0,20025.0
01015,2020-09-15,1015,,2804.0,323.0,3127.0,31.0,7.0,38.0,,,,,,,,,,,,,,,,,15874.0,,,,Alabama,Calhoun,605.8903,33.770515,-85.82791,17.0,61385.0,25.3,39.55,45507.5,0.2,3.45,0.05,0.0,20.8,9.75,83.75,0.65,0.35,1.55,2.95,7.9,7.0,10.0,10.0,32.25,4.45,7.5,10.7,25.65,90.8,8.7,14.9,1.0,2.2,74.2,114687.5
01017,2020-09-15,1017,,865.0,237.0,1102.0,40.0,2.0,42.0,,,,,,,,,,,,,,,,,5166.0,,,,Alabama,Chambers,596.5812,32.915504,-85.394035,18.0,53553.0,23.0,43.0,39872.0,1.0,2.0,0.0,0.0,39.0,11.0,85.0,0.0,0.0,0.0,1.0,,8.0,,9.0,38.0,5.0,3.0,12.0,21.0,89.0,10.0,11.0,0.0,1.0,57.0,33826.0
01019,2020-09-15,1019,,409.0,112.0,521.0,11.0,4.0,15.0,,,,,,,,,,,,,,,,,2769.0,,,,Alabama,Cherokee,553.5439,34.069515,-85.65424,21.0,55611.0,28.0,45.0,41014.0,0.0,1.0,0.0,0.0,4.0,13.0,83.0,1.0,0.0,0.0,1.0,,7.0,,6.0,38.0,7.0,6.0,12.0,21.0,91.0,8.0,12.0,0.0,0.0,92.0,25853.0
