OBJECTID,NAME,NAME2,CASES,DEATHS,Shape__Area,Shape__Length,GlobalID,CreationDate,Creator,EditDate,Editor,CNTY_FIPS,FIPS,COUNTYGNIS
2692,Adair,ADAIR,317,0,1473390271.37842,155251.053817962,2ce6ca84-f7f2-4e8a-b676-0ca5226753ac,1600457292000,mophep,1600457292000,mophep,1,29001,765805
2693,Andrew,ANDREW,206,1,1130287172.48938,163786.567767417,718454a2-5bf9-45af-9558-d94bcbaa0654,1600457292000,mophep,1600457292000,mophep,3,29003,758456
2694,Atchison,ATCHISON,44,0,1418003516.96313,188930.314764715,c9241ec1-8752-48e3-8a8e-8a177e1ee0e9,1600457294000,mophep,1600457294000,mophep,5,29005,758457
2695,Audrain,AUDRAIN,398,2,1803689153.16577,215719.629416129,8c5e6a9d-9ee7-4cea-96f1-dc48ba3ca7c7,1600457294000,mophep,1600457294000,mophep,7,29007,758458
2696,Barry,BARRY,429,6,2047062916.65308,183363.850208066,8e7db0a0-06c9-459b-832c-c57f253fef97,1600457295000,mophep,1600457295000,mophep,9,29009,758459
2697,Barton,BARTON,162,0,1544821513.02661,159999.90944655,97ed85b0-d6fa-4a71-be1d-0064f31d5907,1600457295000,mophep,1600457295000,mophep,11,29011,758460
2698,Bates,BATES,94,1,2204025469.15381,229371.181238362,9c61f63c-5b34-4a65-93b8-93ff9a71b5ae,1600457295000,mophep,1600457295000,mophep,13,29013,758461
2699,Benton,BENTON,226,2,1947402627.04822,186150.163850069,efa529fc-7e40-496d-8ec2-54d0ec61869a,1600457296000,mophep,1600457296000,mophep,15,29015,758462
2700,Bollinger,BOLLINGER,295,1,1610372906.21729,188578.148504204,2e5e469e-57ba-445c-80ec-ce69b64da081,1600457296000,mophep,1600457296000,mophep,17,29017,758463
2701,Butler,BUTLER,531,4,1811289136.70776,232891.798572674,57287eee-b0a8-488f-8774-a32b178ab26e,1600457296000,mophep,1600457296000,mophep,23,29023,758466
2702,Caldwell,CALDWELL,69,1,1112269984.89941,134916.265592264,b308b25d-1c18-447a-a89a-60af7e06f029,1600457297000,mophep,1600457297000,mophep,25,29025,758467
2703,Callaway,CALLAWAY,562,2,2192521890.21509,216501.246211445,6b18bcee-d41e-4e7f-be8b-b4be1401a02e,1600457297000,mophep,1600457297000,mophep,27,29027,758468
2704,Camden,CAMDEN,767,10,1834499091.99329,237901.660375383,d01d17a7-9286-40c2-85b5-d00881d19cfb,1600457297000,mophep,1600457297000,mophep,29,29029,758469
2705,Cape Girardeau,CAPE GIRARDEAU,1431,9,1520499273.61475,198713.887106016,9c4e0634-4073-4ac0-bad7-b9eb670d3c0f,1600457297000,mophep,1600457297000,mophep,31,29031,758470
2706,Carroll,CARROLL,132,1,1817572188.96362,246413.430755847,eeb5fc5f-4d88-4b9d-a1dd-ddc90829b8ca,1600457298000,mophep,1600457298000,mophep,33,29033,758471
2707,Carter,CARTER,65,1,1318391993.3667,162587.894958694,9f30d19e-4cb1-4fbc-bce8-1a9cf2991ede,1600457298000,mophep,1600457298000,mophep,35,29035,758472
2708,Cass,CASS,1360,17,1816523207.93494,203028.47580441,6776332e-afc9-4383-9807-e84599327123,1600457298000,mophep,1600457298000,mophep,37,29037,758473
2709,Cedar,CEDAR,81,0,1290285381.30566,152148.623170504,05f2266d-9914-4ee8-a15e-e2d58a323faf,1600457298000,mophep,1600457298000,mophep,39,29039,758474
2710,Chariton,CHARITON,43,0,1988183130.19531,235908.683182027,522dea2a-91d3-4cec-be1a-fd2a4955133c,1600457298000,mophep,1600457298000,mophep,41,29041,758475
2711,Christian,CHRISTIAN,1178,3,1459739226.66516,187179.385619796,5c955873-eb34-4bdf-a261-d182c83c478a,1600457299000,mophep,1600457299000,mophep,43,29043,758476
2712,Clark,CLARK,59,0,1325127047.40454,161328.403476521,23258e11-cb5c-4d26-a755-417a44582276,1600457299000,mophep,1600457299000,mophep,45,29045,758477
2713,Clay,CLAY,1700,40,823437386.003784,203753.307005088,9f9cdfb3-ae4c-4844-afdb-7d9818b9a7ef,1600457299000,mophep,1600457299000,mophep,47,29047,758478
2715,Clinton,CLINTON,193,0,1096305135.40088,132327.302663784,b335f26c-7a29-4743-ab7b-1e33c1dfbef8,1600457300000,mophep,1600457300000,mophep,49,29049,758479
2716,Cole,COLE,1328,7,1032887988.9563,168551.435388836,31896cd0-17ae-434d-9cb1-9e7efe746fb7,1600457300000,mophep,1600457300000,mophep,51,29051,758480
2717,Boone,BOONE,4328,6,1789219127.33765,217043.526083453,cae2f251-02a9-4285-88f3-b49a3726c7d9,1600457301000,mophep,1600457301000,mophep,19,29019,758464
2718,Cooper,COOPER,368,2,1475697120.90027,162143.43251397,86cf0a56-c453-43fd-acb6-2e207d88d067,1600457301000,mophep,1600457301000,mophep,53,29053,758481
2719,Crawford,CRAWFORD,339,2,1925918331.54321,190994.203045054,4c280663-c85a-45ba-bea9-876451b59d01,1600457301000,mophep,1600457301000,mophep,55,29055,758482
2720,Dade,DADE,46,0,1310456573.03308,145838.280175448,fd13ff93-adfd-4d9c-992b-88f7bddbb27d,1600457301000,mophep,1600457301000,mophep,57,29057,758483
2721,Dallas,DALLAS,167,1,1404818629.5647,168314.610088887,dfbaabec-d601-434d-8eb1-382aa7689733,1600457301000,mophep,1600457301000,mophep,59,29059,758484
2722,Daviess,DAVIESS,76,0,1472976280.80408,155484.155631303,715b1d17-9f80-4cee-a07a-0e213dcdf229,1600457302000,mophep,1600457302000,mophep,61,29061,758485
2723,Dent,DENT,116,0,1953470184.62183,215699.435098662,60dda736-d2b1-4d8c-9949-22b1b96bda1d,1600457302000,mophep,1600457302000,mophep,65,29065,758487
2724,Douglas,DOUGLAS,155,3,2108263069.81604,203178.021894209,b385cc3c-a966-4a08-806a-076f33287a6b,1600457302000,mophep,1600457302000,mophep,67,29067,758488
2725,Dunklin,DUNKLIN,709,6,1418278275.56299,270881.240556893,29263cf5-847a-459d-b5a7-0fb7a7be737b,1600457302000,mophep,1600457302000,mophep,69,29069,758489
2726,Franklin,FRANKLIN,1461,26,2410151570.64526,225939.46138565,558e8761-19f3-4564-843b-9145167e6a07,1600457302000,mophep,1600457302000,mophep,71,29071,758490
2727,Osage,OSAGE,122,1,1566715817.79102,185080.675591737,7dbace64-1e99-4f85-9ff7-ae224cc4a36a,1600457303000,mophep,1600457303000,mophep,151,29151,758530
2728,Grundy,GRUNDY,164,2,1133518113.44507,135416.210970302,a58edb52-f4a9-4999-bb66-e0a941ccd9cd,1600457303000,mophep,1600457303000,mophep,79,29079,758494
2729,Harrison,HARRISON,99,1,1880328154.0459,177340.469390939,18f1697b-f801-4015-82d9-093d3f1740eb,1600457303000,mophep,1600457303000,mophep,81,29081,758495
