date,county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
2020-09-18,Adair,Missouri,29001.0,328,0.0,328.0,0.0,,
2020-09-18,Andrew,Missouri,29003.0,194,1.0,194.0,1.0,,
2020-09-18,Atchison,Missouri,29005.0,43,0.0,43.0,0.0,,
2020-09-18,Audrain,Missouri,29007.0,386,2.0,386.0,2.0,,
2020-09-18,Barry,Missouri,29009.0,420,6.0,420.0,6.0,,
2020-09-18,Barton,Missouri,29011.0,161,0.0,161.0,0.0,,
2020-09-18,Bates,Missouri,29013.0,92,1.0,92.0,1.0,,
2020-09-18,Benton,Missouri,29015.0,200,2.0,200.0,2.0,,
2020-09-18,Bollinger,Missouri,29017.0,287,1.0,287.0,1.0,,
2020-09-18,Boone,Missouri,29019.0,4288,7.0,4288.0,7.0,,
2020-09-18,Buchanan,Missouri,29021.0,1623,13.0,1623.0,13.0,,
2020-09-18,Butler,Missouri,29023.0,519,4.0,519.0,4.0,,
2020-09-18,Caldwell,Missouri,29025.0,66,1.0,66.0,1.0,,
2020-09-18,Callaway,Missouri,29027.0,553,2.0,553.0,2.0,,
2020-09-18,Camden,Missouri,29029.0,747,10.0,747.0,10.0,,
2020-09-18,Cape Girardeau,Missouri,29031.0,1419,15.0,1413.0,15.0,6.0,
2020-09-18,Carroll,Missouri,29033.0,131,1.0,131.0,1.0,,
2020-09-18,Carter,Missouri,29035.0,59,1.0,59.0,1.0,,
2020-09-18,Cass,Missouri,29037.0,1404,19.0,1404.0,19.0,,
2020-09-18,Cedar,Missouri,29039.0,77,0.0,77.0,0.0,,
2020-09-18,Chariton,Missouri,29041.0,42,0.0,42.0,0.0,,
2020-09-18,Christian,Missouri,29043.0,1169,4.0,1132.0,4.0,37.0,
2020-09-18,Clark,Missouri,29045.0,59,0.0,59.0,0.0,,
2020-09-18,Clay,Missouri,29047.0,1672,40.0,1672.0,40.0,,
2020-09-18,Clinton,Missouri,29049.0,190,0.0,190.0,0.0,,
2020-09-18,Cole,Missouri,29051.0,1289,14.0,1289.0,14.0,,
2020-09-18,Cooper,Missouri,29053.0,362,2.0,362.0,2.0,,
2020-09-18,Crawford,Missouri,29055.0,330,2.0,330.0,2.0,,
2020-09-18,Dade,Missouri,29057.0,44,0.0,44.0,0.0,,
2020-09-18,Dallas,Missouri,29059.0,164,1.0,164.0,1.0,,
2020-09-18,Daviess,Missouri,29061.0,73,0.0,73.0,0.0,,
2020-09-18,DeKalb,Missouri,29063.0,104,2.0,104.0,2.0,,
2020-09-18,Dent,Missouri,29065.0,106,0.0,106.0,0.0,,
2020-09-18,Douglas,Missouri,29067.0,149,3.0,149.0,3.0,,
2020-09-18,Dunklin,Missouri,29069.0,693,6.0,693.0,6.0,,
2020-09-18,Franklin,Missouri,29071.0,1426,23.0,1426.0,23.0,,
2020-09-18,Gasconade,Missouri,29073.0,148,15.0,148.0,15.0,,
2020-09-18,Gentry,Missouri,29075.0,110,9.0,110.0,9.0,,
2020-09-18,Greene,Missouri,29077.0,5233,49.0,5204.0,48.0,29.0,1.0
2020-09-18,Grundy,Missouri,29079.0,158,2.0,158.0,2.0,,
2020-09-18,Harrison,Missouri,29081.0,99,1.0,99.0,1.0,,
2020-09-18,Henry,Missouri,29083.0,151,4.0,151.0,4.0,,
2020-09-18,Hickory,Missouri,29085.0,78,2.0,78.0,2.0,,
2020-09-18,Holt,Missouri,29087.0,72,0.0,72.0,0.0,,
2020-09-18,Howard,Missouri,29089.0,161,2.0,161.0,2.0,,
2020-09-18,Howell,Missouri,29091.0,467,3.0,467.0,3.0,,
2020-09-18,Iron,Missouri,29093.0,47,0.0,47.0,0.0,,
2020-09-18,Jackson,Missouri,29095.0,6796,92.0,6796.0,92.0,,
2020-09-18,Jasper,Missouri,29097.0,2105,20.0,2105.0,20.0,,
2020-09-18,Jefferson,Missouri,29099.0,3789,54.0,3789.0,54.0,,
2020-09-18,Johnson,Missouri,29101.0,966,4.0,966.0,4.0,,
2020-09-18,Joplin,Missouri,,1243,23.0,1243.0,23.0,,
2020-09-18,Kansas City,Missouri,,10404,103.0,10404.0,103.0,,
